ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stay_home_ratio,ave_new7_10after
90004,2020/3/16,2,1,1891,4046,676,776,59,93,61586,20205,3.25E-05,1.62E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.797337278,8.75
90006,2020/3/16,1,1,2075,6493,500,480,163,75,61698,32134,1.62E-05,1.62E-05,1,73.91,50.28,63.04,-19,12,-40,-29,-22,11,4.15,1.75
90018,2020/3/16,1,1,1244,5472,481,643,47,93,53256,18389,1.88E-05,1.88E-05,1,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.586278586,1.25
90033,2020/3/16,5,4,1332,6733,474,664,52,93,47583,14564,0.00010508,8.41E-05,1,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.810126582,0.5
90039,2020/3/16,1,1,664,7947,243,740,42,95,29589,7848,3.38E-05,3.38E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.732510288,2
90043,2020/3/16,1,1,1659,9058,610,585,43,93,44627,10795,2.24E-05,2.24E-05,1,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.719672131,1.25
90045,2020/3/16,1,1,1326,30355,411,692,187,79,41149,3836,2.43E-05,2.43E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,3.226277372,1
90069,2020/3/16,5,1,636,4628,248,623,35,95,20435,9666,0.000244678,4.89E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.564516129,4
90210,2020/3/16,1,1,1322,529317,484,692,92,88,19909,1966,5.02E-05,5.02E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.731404959,1.75
90230,2020/3/16,2,1,1022,5140,409,893,34,96,32808,7277,6.10E-05,3.05E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.498777506,1.5
90247,2020/3/16,1,1,1451,6192,486,710,76,90,47531,12661,2.10E-05,2.10E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.985596708,0.75
90266,2020/3/16,3,2,1299,32872,508,1020,24,98,35573,9037,8.43E-05,5.62E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.557086614,3.5
90291,2020/3/16,1,1,537,41111,183,765,63,92,27525,11018,3.63E-05,3.63E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.93442623,1
90403,2020/3/16,1,1,563,5068,213,802,33,96,24354,17054,4.11E-05,4.11E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.643192488,3.5
90503,2020/3/16,2,1,1945,4465,675,898,59,94,44908,8478,4.45E-05,2.23E-05,2,73.91,50.28,63.04,-19,12,-40,-29,-22,11,2.881481481,2.75
