ZIP,population
90004,61586
90006,61698
90018,53256
90033,47583
90039,29589
90043,44627
90045,41149
90069,20435
90210,19909
90230,32808
90247,47531
90266,35573
90291,27525
90403,24354
90503,44908
90638,49383
90731,61850
90746,26996
90755,11074
91007,34523
91030,25794
91104,37974
91208,13538
91304,53761
91316,29964
91330,3273
91344,53266
91356,30804
91423,33737
91741,26565
91765,47139
91773,34496
91803,30385
93536,72383
90008,31739
90041,29516
90049,36964
90066,59394
90262,70936
91001,37711
91350,37350
91364,27340
91606,44476
91754,33058
90025,47967
90046,50587
90061,27646
90068,20982
91342,96487
91789,44474
90007,41716
90022,65890
90024,50288
90026,69589
90034,55652
90035,28085
90036,37988
90044,96436
90094,9368
90250,96836
90265,18389
90272,22551
90275,42421
90602,25981
90717,21696
91042,26631
91302,26634
91335,80524
91381,20371
91401,41412
91405,55384
91502,11598
91604,32117
91723,18875
91733,44968
90014,8335
90245,16850
90278,40649
90604,42063
90713,29061
91306,49158
91340,36227
91406,55215
90003,72741
90011,109414
90640,63177
90703,50963
91011,20423
91040,20207
91352,47438
91750,33836
91791,34363
90029,37898
90280,95103
90706,77529
90723,54776
90744,57206
91780,35351
90016,46581
90020,39102
90031,38535
90037,65016
90220,53703
91008,1391
91301,25631
93550,77006
90013,11937
90042,63911
90059,45952
90065,47887
90241,44143
90248,11512
90650,105886
90660,63380
91326,37035
91387,43717
91744,87240
91776,38410
90002,53111
90201,102433
91331,105799
91402,70686
91766,72332
90270,27454
90606,32803
90710,28185
91016,41671
91311,40420
91343,66590
91702,62348
91745,54975
90012,35913
90019,66245
90028,30734
90047,48883
90048,22892
90064,25429
90077,8993
90254,19650
90274,25279
90292,22490
90293,12694
90304,25591
90502,18188
90505,37641
90631,67619
90701,16858
90716,14344
90732,22273
91108,13538
91345,19205
91354,32096
91602,19358
91607,30873
91711,36854
91748,47084
90032,47627
90255,75560
91770,63425
90056,7795
90040,12645
90601,33058
91731,30139
90670,16578
90745,56821
91024,11006
91361,20438
91706,77342
93543,15135
90001,58975
90221,52322
90222,32850
90249,26587
91724,26091
91775,25192
91390,19053
93510,7626
93535,72948
91746,30708
93553,1781
93551,51085
91601,37085
91006,33012
91010,26601
93552,40266
93532,2871
90058,2758
