ZIP,date,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
90004,2020/3/16,2020/3/22,2,1,1891,4046,676,776,59,93,61586,20205,3.25E-05,1.62E-05,2,2.797337278,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90006,2020/3/16,2020/3/22,1,1,2075,6493,500,480,163,75,61698,32134,1.62E-05,1.62E-05,1,4.15,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90018,2020/3/16,2020/3/22,1,1,1244,5472,481,643,47,93,53256,18389,1.88E-05,1.88E-05,1,2.586278586,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90033,2020/3/16,2020/3/22,5,4,1332,6733,474,664,52,93,47583,14564,0.00010508,8.41E-05,1,2.810126582,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90039,2020/3/16,2020/3/22,1,1,664,7947,243,740,42,95,29589,7848,3.38E-05,3.38E-05,2,2.732510288,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90043,2020/3/16,2020/3/22,1,1,1659,9058,610,585,43,93,44627,10795,2.24E-05,2.24E-05,1,2.719672131,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90045,2020/3/16,2020/3/22,1,1,1326,30355,411,692,187,79,41149,3836,2.43E-05,2.43E-05,2,3.226277372,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90069,2020/3/16,2020/3/22,5,1,636,4628,248,623,35,95,20435,9666,0.000244678,4.89E-05,2,2.564516129,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90210,2020/3/16,2020/3/22,1,1,1322,529317,484,692,92,88,19909,1966,5.02E-05,5.02E-05,2,2.731404959,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90230,2020/3/16,2020/3/22,2,1,1022,5140,409,893,34,96,32808,7277,6.10E-05,3.05E-05,2,2.498777506,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90247,2020/3/16,2020/3/22,1,1,1451,6192,486,710,76,90,47531,12661,2.10E-05,2.10E-05,2,2.985596708,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90266,2020/3/16,2020/3/22,3,2,1299,32872,508,1020,24,98,35573,9037,8.43E-05,5.62E-05,2,2.557086614,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90291,2020/3/16,2020/3/22,1,1,537,41111,183,765,63,92,27525,11018,3.63E-05,3.63E-05,2,2.93442623,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90403,2020/3/16,2020/3/22,1,1,563,5068,213,802,33,96,24354,17054,4.11E-05,4.11E-05,2,2.643192488,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90503,2020/3/16,2020/3/22,2,1,1945,4465,675,898,59,94,44908,8478,4.45E-05,2.23E-05,2,2.881481481,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90638,2020/3/16,2020/3/22,2,1,2481,6979,780,794,106,88,49383,6275,4.05E-05,2.02E-05,2,3.180769231,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90731,2020/3/16,2020/3/22,1,0,1891,7683,643,696,63,92,61850,6717,1.62E-05,0,2,2.940902022,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90746,2020/3/16,2020/3/22,1,1,931,6974,339,587,66,90,26996,4628,3.70E-05,3.70E-05,2,2.746312684,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90755,2020/3/16,2020/3/22,5,1,443,6823,166,738,55,93,11074,5082,0.000451508,9.03E-05,2,2.668674699,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91007,2020/3/16,2020/3/22,1,1,1363,5761,548,998,33,97,34523,6210,2.90E-05,2.90E-05,2,2.487226277,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91030,2020/3/16,2020/3/22,1,1,895,5174,333,936,42,96,25794,7562,3.88E-05,3.88E-05,2,2.687687688,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91104,2020/3/16,2020/3/22,2,1,1122,4959,432,816,41,95,37974,9985,5.27E-05,2.63E-05,2,2.597222222,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91208,2020/3/16,2020/3/22,2,1,544,6716,211,1007,45,96,13538,3551,0.000147732,7.39E-05,2,2.578199052,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91304,2020/3/16,2020/3/22,3,1,2251,5244,876,832,48,95,53761,5716,5.58E-05,1.86E-05,2,2.569634703,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91316,2020/3/16,2020/3/22,3,1,934,5859,386,962,25,97,29964,5984,0.00010012,3.34E-05,2,2.419689119,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91330,2020/3/16,2020/3/22,1,1,197,45406,25,0,1097,0,3273,9598,0.00030553,0.00030553,2,7.88,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91344,2020/3/16,2020/3/22,3,1,2923,7466,1123,869,46,95,53266,3245,5.63E-05,1.88E-05,2,2.60284951,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91356,2020/3/16,2020/3/22,5,1,1370,5042,561,1013,34,97,30804,4200,0.000162317,3.25E-05,2,2.442067736,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91423,2020/3/16,2020/3/22,2,1,1160,5343,491,846,29,97,33737,7732,5.93E-05,2.96E-05,2,2.362525458,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91741,2020/3/16,2020/3/22,1,1,1279,6467,396,755,79,91,26565,1792,3.76E-05,3.76E-05,2,3.22979798,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91765,2020/3/16,2020/3/22,2,1,2142,8750,775,803,66,92,47139,2491,4.24E-05,2.12E-05,2,2.763870968,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91773,2020/3/16,2020/3/22,1,1,1576,6857,550,841,52,94,34496,2411,2.90E-05,2.90E-05,2,2.865454545,73.91,50.28,63.04,-19,12,-40,-29,-22,11
91803,2020/3/16,2020/3/22,1,1,1018,5432,387,858,59,94,30385,9303,3.29E-05,3.29E-05,2,2.630490956,73.91,50.28,63.04,-19,12,-40,-29,-22,11
93536,2020/3/16,2020/3/22,1,1,3364,9130,1104,763,73,91,72383,298,1.38E-05,1.38E-05,2,3.047101449,73.91,50.28,63.04,-19,12,-40,-29,-22,11
90004,2020/3/17,2020/3/22,9,7,1851,4155,714,816,55,94,61586,20205,0.000146137,0.000113662,2,2.592436975,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90006,2020/3/17,2020/3/22,1,0,2043,6520,521,540,184,75,61698,32134,1.62E-05,0,1,3.921305182,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90008,2020/3/17,2020/3/22,1,1,981,5902,345,578,61,90,31739,8641,3.15E-05,3.15E-05,1,2.843478261,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90018,2020/3/17,2020/3/22,1,0,1259,6349,535,713,32,96,53256,18389,1.88E-05,0,1,2.353271028,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90033,2020/3/17,2020/3/22,5,0,1348,7427,498,681,54,93,47583,14564,0.00010508,0,1,2.706827309,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90039,2020/3/17,2020/3/22,1,0,702,6075,261,766,36,96,29589,7848,3.38E-05,0,2,2.689655172,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90041,2020/3/17,2020/3/22,1,1,973,9724,354,731,87,89,29516,8176,3.39E-05,3.39E-05,2,2.748587571,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90043,2020/3/17,2020/3/22,1,0,1637,8029,630,676,36,95,44627,10795,2.24E-05,0,1,2.598412698,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90045,2020/3/17,2020/3/22,2,1,1350,32247,427,695,186,79,41149,3836,4.86E-05,2.43E-05,2,3.161592506,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90049,2020/3/17,2020/3/22,1,1,1221,5396,509,1082,39,97,36964,2460,2.71E-05,2.71E-05,2,2.398821218,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90066,2020/3/17,2020/3/22,1,1,1389,4786,574,932,28,97,59394,12064,1.68E-05,1.68E-05,2,2.419860627,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90069,2020/3/17,2020/3/22,8,3,617,4364,238,628,31,95,20435,9666,0.000391485,0.000146807,2,2.592436975,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90210,2020/3/17,2020/3/22,1,0,1285,459995,464,750,101,88,19909,1966,5.02E-05,0,2,2.769396552,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90230,2020/3/17,2020/3/22,2,0,1045,4707,418,964,22,98,32808,7277,6.10E-05,0,2,2.5,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90247,2020/3/17,2020/3/22,1,0,1494,6699,474,721,67,91,47531,12661,2.10E-05,0,2,3.151898734,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90262,2020/3/17,2020/3/22,1,1,1973,6366,721,729,58,93,70936,14677,1.41E-05,1.41E-05,2,2.736477115,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90266,2020/3/17,2020/3/22,4,1,1282,2494,522,1109,20,98,35573,9037,0.000112445,2.81E-05,2,2.455938697,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90291,2020/3/17,2020/3/22,2,1,582,22117,195,734,60,92,27525,11018,7.27E-05,3.63E-05,2,2.984615385,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90403,2020/3/17,2020/3/22,1,0,544,3890,230,918,30,97,24354,17054,4.11E-05,0,2,2.365217391,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90503,2020/3/17,2020/3/22,1,1,1980,4402,768,968,36,96,44908,8478,2.23E-05,2.23E-05,2,2.578125,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90638,2020/3/17,2020/3/22,3,1,2507,7219,821,829,89,90,49383,6275,6.07E-05,2.02E-05,2,3.053593179,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90731,2020/3/17,2020/3/22,1,0,1897,7167,650,688,60,92,61850,6717,1.62E-05,0,2,2.918461538,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90746,2020/3/17,2020/3/22,1,0,918,7430,339,584,55,91,26996,4628,3.70E-05,0,2,2.707964602,68.19,46.31,63.51,-24,8,-21,-30,-29,14
