ZIP,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,week3
90001,2020/4/5,35,20,1856,4515,869,846,10,98,58975,16840,0.0005934719999999999,0.000339138,1,0.468211207,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,27
90001,2020/4/12,58,23,1678,5030,840,894,9,99,58975,16840,0.000983468,0.000390145,1,0.500595948,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,68
90001,2020/4/19,85,27,1550,5350,711,888,15,98,58975,16840,0.001441289,0.000457838,1,0.458709677,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,73
90001,2020/4/26,153,68,1643,5178,705,790,18,97,58975,16840,0.00259432,0.001153036,1,0.4290931220000001,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,72
90001,2020/5/3,226,73,1631,5331,731,757,19,97,58975,16840,0.003832132,0.001237812,1,0.448191294,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,67
90001,2020/5/10,298,72,1745,5349,760,747,18,97,58975,16840,0.005052989,0.001220831,1,0.435530086,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,116
90002,2020/3/29,3,3,1638,6295,667,756,33,95,53111,17345,5.65e-05,5.64e-05,1,0.407203907,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,18
90002,2020/4/5,25,22,1974,6779,800,676,41,94,53111,17345,0.000470712,0.000414213,1,0.40526849,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,22
90002,2020/4/12,41,18,1729,6898,789,785,15,98,53111,17345,0.000771968,0.00033889900000000004,1,0.456333141,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,63
90002,2020/4/19,63,22,1603,6561,652,801,23,97,53111,17345,0.001186195,0.0004142280000000001,1,0.406737367,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,54
90002,2020/4/26,126,63,1706,6488,644,704,33,95,53111,17345,0.00237239,0.001186166,1,0.377491208,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,52
90002,2020/5/3,180,54,1650,6406,653,683,33,95,53111,17345,0.003389128,0.001016753,1,0.395757576,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,52
90002,2020/5/10,232,52,1677,5449,664,678,26,96,53111,17345,0.00436821,0.000979068,1,0.39594514,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,79
