ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90001,2020/4/19 - 2020/4/25,20.849974,3.53539
90001,2020/4/26 - 2020/5/2,46.447296,7.87576
90001,2020/5/3 - 2020/5/9,55.089565,9.34117
90001,2020/5/10 - 2020/5/16,61.87778,10.49221
90001,2020/5/17 - 2020/5/23,57.439224,9.73959
90002,2020/4/12 - 2020/4/18,18.58561,3.49939
90002,2020/4/19 - 2020/4/25,22.172535,4.17475
90002,2020/4/26 - 2020/5/2,43.22863,8.1393
90002,2020/5/3 - 2020/5/9,53.14196,10.00583
90002,2020/5/10 - 2020/5/16,52.443394,9.8743
90002,2020/5/17 - 2020/5/23,45.9998,8.66107
90003,2020/4/5 - 2020/4/11,20.63659,2.837
90003,2020/4/12 - 2020/4/18,24.515896,3.3703
90003,2020/4/19 - 2020/4/25,26.488056,3.64142
90003,2020/4/26 - 2020/5/2,49.282383,6.77505
90003,2020/5/3 - 2020/5/9,77.0923,10.59819
90003,2020/5/10 - 2020/5/16,76.26644,10.48466
90003,2020/5/17 - 2020/5/23,75.63207,10.39745
90004,2020/4/5 - 2020/4/11,38.22362,6.20654
90004,2020/4/12 - 2020/4/18,64.52661,10.47748
90004,2020/4/19 - 2020/4/25,62.37093,10.12745
90004,2020/4/26 - 2020/5/2,83.12299,13.49706
90004,2020/5/3 - 2020/5/9,73.09812,11.86928
90004,2020/5/10 - 2020/5/16,74.56151,12.10689
90004,2020/5/17 - 2020/5/23,49.720097,8.07328
90006,2020/4/5 - 2020/4/11,31.250628,5.0651
90006,2020/4/12 - 2020/4/18,60.35099,9.78168
90006,2020/4/19 - 2020/4/25,79.85521,12.94292
90006,2020/4/26 - 2020/5/2,140.1547,22.71625
90006,2020/5/3 - 2020/5/9,169.06699,27.40235
90006,2020/5/10 - 2020/5/16,179.38345,29.07444
90006,2020/5/17 - 2020/5/23,184.2934,29.87024
90007,2020/4/5 - 2020/4/11,18.805803,4.50806
90007,2020/4/12 - 2020/4/18,17.338362,4.15629
90007,2020/4/19 - 2020/4/25,18.094805,4.33762
90007,2020/4/26 - 2020/5/2,29.602545,7.09621
