ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90001,2020/4/19 - 2020/4/25,21.264324,3.60565
90001,2020/4/26 - 2020/5/2,48.3669,8.20125
90001,2020/5/3 - 2020/5/9,48.65308,8.24978
90001,2020/5/10 - 2020/5/16,55.80582,9.46262
90001,2020/5/17 - 2020/5/23,45.577583,7.72829
90002,2020/4/12 - 2020/4/18,20.366228,3.83465
90002,2020/4/19 - 2020/4/25,22.890013,4.30984
90002,2020/4/26 - 2020/5/2,45.62885,8.59122
90002,2020/5/3 - 2020/5/9,46.79322,8.81046
90002,2020/5/10 - 2020/5/16,47.983017,9.03448
90002,2020/5/17 - 2020/5/23,36.372543,6.8484
90003,2020/4/5 - 2020/4/11,24.707005,3.39657
90003,2020/4/12 - 2020/4/18,24.871733,3.41922
90003,2020/4/19 - 2020/4/25,25.714966,3.53514
90003,2020/4/26 - 2020/5/2,51.333298,7.057
90003,2020/5/3 - 2020/5/9,63.652542,8.75057
90003,2020/5/10 - 2020/5/16,68.8796,9.46916
90003,2020/5/17 - 2020/5/23,58.144543,7.99337
90004,2020/4/5 - 2020/4/11,39.67838,6.44276
90004,2020/4/12 - 2020/4/18,56.545322,9.18152
90004,2020/4/19 - 2020/4/25,54.593506,8.8646
90004,2020/4/26 - 2020/5/2,75.59565,12.27481
90004,2020/5/3 - 2020/5/9,59.96216,9.73633
90004,2020/5/10 - 2020/5/16,60.289703,9.78951
90004,2020/5/17 - 2020/5/23,35.982124,5.84258
90006,2020/4/5 - 2020/4/11,36.431416,5.9048
90006,2020/4/12 - 2020/4/18,51.667397,8.37424
90006,2020/4/19 - 2020/4/25,65.28335,10.58111
90006,2020/4/26 - 2020/5/2,121.09918,19.62773
90006,2020/5/3 - 2020/5/9,141.72215,22.9703
90006,2020/5/10 - 2020/5/16,147.06786,23.83673
90006,2020/5/17 - 2020/5/23,133.50165,21.63792
90007,2020/4/5 - 2020/4/11,25.705372,6.16199
90007,2020/4/12 - 2020/4/18,24.269247,5.81773
90007,2020/4/19 - 2020/4/25,22.360464,5.36016
90007,2020/4/26 - 2020/5/2,38.189056,9.15453
90007,2020/5/3 - 2020/5/9,39.571045,9.48582
90007,2020/5/10 - 2020/5/16,37.97147,9.10238
90007,2020/5/17 - 2020/5/23,25.612843,6.13981
90008,2020/4/5 - 2020/4/11,23.41181,7.37635
90008,2020/4/12 - 2020/4/18,16.53569,5.2099
90008,2020/4/19 - 2020/4/25,13.929254,4.38869
90008,2020/4/26 - 2020/5/2,27.972776,8.81338
90008,2020/5/3 - 2020/5/9,11.836937,3.72946
